movie_title,movie_imdb_link,movie_facebook_likes,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes
X-Men: The Last Stand,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,4300.0,Brett Ratner,422.0,Hugh Jackman,20000.0,Halle Berry,3700.0,Ian McKellen,6200.0,60814.0
The Golden Compass,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,3400.0,Chris Weitz,129.0,Nicole Kidman,4800.0,Daniel Craig,8300.0,Dakota Blue Richards,531.0,58739.0
Men in Black 3,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,40000.0,Barry Sonnenfeld,191.0,Will Smith,10000.0,Tommy Lee Jones,7900.0,Josh Brolin,2900.0,31413.0
Battleship,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,44000.0,Peter Berg,544.0,Taylor Kitsch,5500.0,Alexander Skarsgrd,10000.0,Rihanna,1600.0,37946.0
Finding Dory,http://www.imdb.com/title/tt2277860/?ref_=fn_tt_tt_1,60000.0,Andrew Stanton,475.0,Ellen DeGeneres,1700.0,Albert Brooks,751.0,Ed O'Neill,1400.0,26284.0
Titanic,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,26000.0,James Cameron,6900.0,Leonardo DiCaprio,29000.0,Kate Winslet,14000.0,Billy Zane,1900.0,53829.0
Iron Man 3,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,95000.0,Shane Black,1100.0,Robert Downey Jr.,21000.0,Gwyneth Paltrow,4100.0,Don Cheadle,3000.0,57545.0
Toy Story 3,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,30000.0,Lee Unkrich,126.0,Tom Hanks,15000.0,Tim Allen,1300.0,Joan Cusack,1500.0,32416.0
Robin Hood,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,17000.0,Ridley Scott,7300.0,Russell Crowe,7300.0,Cate Blanchett,6200.0,Max von Sydow,2700.0,33268.0
Spider-Man 2,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,3200.0,Sam Raimi,1300.0,Tobey Maguire,2800.0,Kirsten Dunst,4000.0,James Franco,11000.0,53627.0
X-Men: Days of Future Past,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,83000.0,Bryan Singer,2300.0,Hugh Jackman,20000.0,James McAvoy,8800.0,Michael Fassbender,13000.0,127553.0
Oz the Great and Powerful,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,60000.0,Sam Raimi,1300.0,James Franco,11000.0,Mila Kunis,15000.0,Rachel Weisz,5200.0,90367.0
Monsters University,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,44000.0,Dan Scanlon,37.0,Billy Crystal,1100.0,John Goodman,3200.0,Steve Buscemi,12000.0,33369.0
King Kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,3900.0,Peter Jackson,8000.0,Naomi Watts,6000.0,Jack Black,3100.0,Adrien Brody,5100.0,26751.0
TRON: Legacy,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,30000.0,Joseph Kosinski,364.0,Jeff Bridges,12000.0,Garrett Hedlund,4800.0,Olivia Wilde,10000.0,34153.0
Alice in Wonderland,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,25000.0,Tim Burton,13000.0,Johnny Depp,40000.0,Mia Wasikowska,3100.0,Helena Bonham Carter,7700.0,95961.0
The Amazing Spider-Man 2,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,41000.0,Marc Webb,466.0,Andrew Garfield,10000.0,Emma Stone,15000.0,Jamie Foxx,2800.0,44543.0
Cars 2,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,10000.0,John Lasseter,487.0,Larry the Cable Guy,400.0,Owen Wilson,3300.0,Michael Caine,5300.0,16103.0
Terminator Salvation,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,6600.0,McG,371.0,Christian Bale,23000.0,Sam Worthington,5300.0,Moon Bloodgood,1500.0,49274.0
